
========================================
Start Time             : 2026-07-21T01:19:47.853167
========================================
42 | isPairedSum | branch | 100.00% | 5.16ms | 119.28MB | 4 cases
42 | isPairedSum | mcdc | 100.00% | 5.37ms | 222.27MB | 4 cases
58 | wpRecursion | statement | 100.00% | 2.57ms | 129.75MB | 3 cases
58 | wpRecursion | branch | 100.00% | 1.57ms | 236.26MB | 2 cases
58 | wpRecursion | mcdc | 100.00% | 1.71ms | 128.63MB | 2 cases



60 | wpbu | statement | 100.00% | 22.38ms | 234.62MB | 2 cases
60 | wpbu | branch | 100.00% | 21.23ms | 125.64MB | 2 cases
60 | wpbu | mcdc | 100.00% | 24.99ms | 231.63MB | 3 cases
61 | isPalindrome | statement | 100.00% | 3.12ms | 126.87MB | 3 cases
61 | isPalindrome | branch | 100.00% | 3.09ms | 233.37MB | 3 cases
61 | isPalindrome | mcdc | 100.00% | 3.89ms | 130.95MB | 4 cases
84 | bubbleSort | statement | 100.00% | 4.96ms | 235.45MB | 2 cases
84 | bubbleSort | branch | 100.00% | 5.53ms | 127.26MB | 3 cases
84 | bubbleSort | mcdc | 100.00% | 4.86ms | 230.74MB | 3 cases
80 | binarySearch | statement | 100.00% | 3.27ms | 125.69MB | 4 cases
80 | binarySearch | branch | 100.00% | 3.33ms | 227.94MB | 4 cases
80 | binarySearch | mcdc | 100.00% | 3.09ms | 120.77MB | 4 cases
47 | search | statement | 100.00% | 2.73ms | 163.65MB | 3 cases
47 | search | branch | 100.00% | 1.97ms | 120.04MB | 3 cases
47 | search | mcdc | 100.00% | 2.02ms | 220.53MB | 3 cases
11 | sort | statement | 100.00% | 5.52ms | 121.62MB | 2 cases
11 | sort | branch | 100.00% | 5.28ms | 222.18MB | 2 cases
11 | sort | mcdc | 100.00% | 4.95ms | 124.14MB | 2 cases
89 | selectionSort | statement | 100.00% | 17.33ms | 224.64MB | 2 cases
89 | selectionSort | branch | 100.00% | 18.13ms | 124.02MB | 2 cases
89 | selectionSort | mcdc | 100.00% | 12.42ms | 224.02MB | 2 cases

========================================
Start Time             : 2026-07-21T16:25:21.940266
========================================
92 | encode | statement | 100.00% | 13.17ms | 120.81MB | 2 cases
92 | encode | branch | 100.00% | 5.23ms | 129.40MB | 2 cases
92 | encode | mcdc | 100.00% | 6.34ms | 235.48MB | 3 cases
118 | arrange | statement | 100.00% | 6.57ms | 154.72MB | 4 cases
118 | arrange | branch | 100.00% | 6.71ms | 260.72MB | 4 cases
118 | arrange | mcdc | 100.00% | 7.28ms | 170.03MB | 5 cases
31 | areAnagramsByCountingCharsSingleArray | statement | 85.71% | 28.77ms | 81.40MB | 2 cases
31 | areAnagramsByCountingCharsSingleArray | branch | 75.00% | 39.84ms | 248.71MB | 3 cases
31 | areAnagramsByCountingCharsSingleArray | mcdc | 75.00% | 39.80ms | 164.48MB | 3 cases
33 | areAnagramsBySingleFreqArray | statement | 78.57% | 29.36ms | 82.61MB | 2 cases
33 | areAnagramsBySingleFreqArray | branch | 62.50% | 39.61ms | 241.61MB | 3 cases
33 | areAnagramsBySingleFreqArray | mcdc | 62.50% | 39.90ms | 161.67MB | 3 cases
20 | isAllCharactersSame | statement | 100.00% | 3.36ms | 281.89MB | 4 cases
20 | isAllCharactersSame | branch | 100.00% | 3.31ms | 183.84MB | 4 cases
20 | isAllCharactersSame | mcdc | 100.00% | 3.37ms | 186.70MB | 4 cases
122 | countCharacters | statement | 100.00% | 11.09ms | 188.80MB | 2 cases
122 | countCharacters | branch | 100.00% | 11.75ms | 92.09MB | 2 cases
122 | countCharacters | mcdc | 100.00% | 11.13ms | 192.08MB | 2 cases
79 | wordCount | statement | 100.00% | 11.33ms | 98.85MB | 2 cases
79 | wordCount | branch | 100.00% | 12.08ms | 200.51MB | 2 cases
79 | wordCount | mcdc | 100.00% | 12.05ms | 108.32MB | 3 cases
114 | calculateHammingDistance | statement | 100.00% | 5.06ms | 212.83MB | 4 cases
114 | calculateHammingDistance | branch | 100.00% | 5.00ms | 132.24MB | 4 cases
114 | calculateHammingDistance | mcdc | 100.00% | 6.00ms | 235.16MB | 5 cases
12 | charEquals | statement | 100.00% | 1.29ms | 162.76MB | 2 cases
12 | charEquals | branch | 100.00% | 1.28ms | 272.72MB | 2 cases
12 | charEquals | mcdc | 100.00% | 1.26ms | 208.47MB | 2 cases
76 | isAlphabeticIsogram | statement | 42.11% | 22.45ms | 151.42MB | 1 cases
76 | isAlphabeticIsogram | branch | 50.00% | 24.07ms | 276.42MB | 2 cases
76 | isAlphabeticIsogram | mcdc | 57.14% | 25.13ms | 247.34MB | 3 cases
54 | kasai | statement | 70.00% | 2.32ms | 204.05MB | 2 cases
54 | kasai | branch | 66.67% | 3.66ms | 185.59MB | 4 cases
54 | kasai | mcdc | 57.69% | 5.40ms | 169.60MB | 6 cases
108 | computePrefixFunction | statement | 92.31% | 5.54ms | 176.12MB | 2 cases
108 | computePrefixFunction | branch | 83.33% | 5.36ms | 152.09MB | 2 cases
108 | computePrefixFunction | mcdc | 62.50% | 5.29ms | 260.10MB | 2 cases
56 | lengthOfLastWord | statement | 100.00% | 2.78ms | 219.02MB | 2 cases
56 | lengthOfLastWord | branch | 100.00% | 2.62ms | 182.34MB | 2 cases
56 | lengthOfLastWord | mcdc | 100.00% | 4.06ms | 284.37MB | 3 cases
41 | toLowerCase | statement | 100.00% | 3.07ms | 249.12MB | 1 cases
41 | toLowerCase | branch | 100.00% | 2.89ms | 218.11MB | 1 cases
41 | toLowerCase | mcdc | 100.00% | 3.53ms | 199.44MB | 1 cases
59 | preprocess | statement | 100.00% | 3.68ms | 225.36MB | 3 cases
59 | preprocess | branch | 75.00% | 2.53ms | 206.17MB | 2 cases
59 | preprocess | mcdc | 75.00% | 2.43ms | 222.62MB | 2 cases
127 | myAtoi | statement | 53.85% | 7.16ms | 254.69MB | 5 cases
127 | myAtoi | branch | 43.75% | 14.05ms | 200.35MB | 10 cases
